City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,harstad,68.799,16.5293,-0.34,96,100,9.83,NO,1704905074
151,tamanrasset,22.785,5.5228,20.95,9,0,2.06,DZ,1704905075
152,laubach,50.542,8.9903,-1.61,75,19,1.54,DE,1704905078
153,timmins,48.4669,-81.3331,-12.1,79,75,6.69,CA,1704904846
154,vila velha,-20.3297,-40.2925,30.97,70,20,9.26,BR,1704904752
155,piacabucu,-10.4056,-36.4344,29.46,66,85,5.87,BR,1704905082
156,avarua,-21.2078,-159.775,26.03,83,20,2.57,CK,1704904487
157,margate,51.3813,1.3862,3.28,67,45,2.68,GB,1704905018
158,utrik,11.2278,169.8474,27.46,70,98,9.9,MH,1704904944
159,koppa,13.5304,75.3633,19.25,75,54,1.56,IN,1704905086
160,hasaki,35.7333,140.8333,4.22,60,100,12.22,JP,1704904734
161,nagqu,31.5,92.0,-12.21,30,0,1.99,CN,1704905089
162,thompson,55.7435,-97.8558,-25.91,76,75,4.12,CA,1704904497
163,murun-kuren,49.6342,100.1625,-18.43,86,37,0.96,MN,1704905093
164,timbiqui,2.7717,-77.6654,27.74,83,93,2.26,CO,1704905094
165,acarau,-2.8856,-40.12,31.75,57,55,6.89,BR,1704904597
166,kirakira,-10.4544,161.9205,26.34,85,62,1.0,SB,1704905097
167,udachny,66.4167,112.4,-35.31,73,60,1.63,RU,1704904758
168,nevel'sk,46.6733,141.8633,-9.8,72,100,2.53,RU,1704905101
169,ketchikan,55.3422,-131.6461,0.99,64,0,4.63,US,1704905103
170,port macquarie,-31.4333,152.9167,21.61,92,75,2.92,AU,1704905026
171,portland,45.5234,-122.6762,3.75,95,91,2.68,US,1704904678
172,nikolayevsk-on-amure,53.1406,140.73,-28.99,99,15,1.14,RU,1704905108
173,lompoc,34.6391,-120.4579,11.55,73,0,3.09,US,1704904863
174,lazaro cardenas,17.9583,-102.2,28.69,59,89,0.33,MX,1704905111
175,el calafate,-50.3408,-72.2768,14.33,56,42,7.29,AR,1704905112
176,balila,32.3881,35.9351,10.64,64,28,2.85,JO,1704905114
177,bardai,11.65,7.2333,26.7,8,0,3.97,NG,1704905115
178,huarmey,-10.0681,-78.1522,25.54,71,97,4.25,PE,1704905116
179,come,6.4076,1.882,30.01,66,15,5.47,BJ,1704905118
180,lebu,-37.6167,-73.65,15.69,62,0,8.8,CL,1704905070
181,talnakh,69.4865,88.3972,-28.23,97,89,3.05,RU,1704905121
182,deir ez-zor,35.3359,40.1408,13.75,70,55,2.93,SY,1704905122
183,vadso,70.0744,29.7487,-4.51,86,40,5.14,NO,1704905124
184,andergrove,-21.0833,149.1833,25.91,80,66,5.24,AU,1704905126
185,gargalianoi,37.0667,21.6333,9.64,68,40,0.45,GR,1704905127
186,el bauga,18.262,33.9081,27.48,30,0,4.07,SD,1704905128
187,christchurch,-43.5333,172.6333,15.51,88,68,1.54,NZ,1704905070
188,bentiu,9.2333,29.8333,31.26,19,79,2.22,SS,1704905131
189,penuelas,18.0564,-66.7216,29.13,75,70,4.71,PR,1704905132
190,rimouski,48.4488,-68.524,0.1,85,100,7.59,CA,1704905133
191,nemuro,43.3236,145.575,-6.9,66,66,7.68,JP,1704905121
192,syzran',53.1585,48.4681,-25.78,97,64,2.4,RU,1704905136
193,mossel bay,-34.1831,22.146,20.96,84,100,2.04,ZA,1704905137
194,port mathurin,-19.6833,63.4167,28.08,77,52,3.91,MU,1704905139
195,katsuren-haebaru,26.3369,127.8719,16.43,51,75,10.29,JP,1704905140
196,achacachi,-16.05,-68.6833,14.21,50,56,3.71,BO,1704905142
197,haffouz,35.6324,9.6762,12.57,37,100,3.38,TN,1704905144
198,timaru,-44.4,171.25,15.6,93,61,3.16,NZ,1704905145
199,yuanping,38.7153,112.7575,-8.75,71,2,0.36,CN,1704905146
200,imbituba,-28.24,-48.6703,28.51,68,19,5.58,BR,1704905099
201,sabha,27.0377,14.4283,13.8,22,28,3.29,LY,1704905149
202,sinabang,2.4803,96.3801,26.17,84,98,0.97,ID,1704905151
203,hadibu,12.65,54.0333,23.63,79,89,7.59,YE,1704904779
204,hirara,24.8,125.2833,15.92,55,75,10.8,JP,1704905153
205,ad darb,17.7229,42.2526,25.41,62,57,1.07,SA,1704905155
206,platon sanchez,21.2833,-98.3667,19.27,64,100,2.1,MX,1704905158
207,polyarnyy,69.1989,33.4478,-6.19,77,100,11.54,RU,1704904692
208,kamina,-8.7386,24.9906,19.25,97,94,2.37,CD,1704905161
209,tosontsengel,48.7567,98.2839,-22.49,95,55,0.86,MN,1704905000
210,port saint john's,-31.6229,29.5448,23.6,96,66,5.38,ZA,1704905163
211,nova xavantina,-14.6667,-52.35,26.02,80,85,3.37,BR,1704905165
212,geraldton,-28.7667,114.6,21.23,83,100,7.2,AU,1704904729
213,waddan,29.1614,16.139,11.96,38,99,1.83,LY,1704905168
214,fort bragg,35.139,-79.006,9.95,51,0,8.75,US,1704905169
215,sanctuary point,-35.1114,150.629,22.64,96,7,2.31,AU,1704905171
216,uturoa,-16.7333,-151.4333,27.8,79,94,5.31,PF,1704904670
217,iskateley,67.6803,53.1512,-17.21,97,100,3.58,RU,1704905175
218,tromso,69.6496,18.957,0.01,93,100,4.63,NO,1704905176
219,haiku-pauwela,20.9219,-156.3051,21.13,86,40,2.68,US,1704905089
220,videira,-27.0083,-51.1517,32.4,41,64,0.25,BR,1704905179
221,pariaman,-0.619,100.12,25.03,92,100,1.52,ID,1704905180
222,l'alcora,40.0667,-0.2,11.79,75,100,1.29,ES,1704905181
223,i-n-salah,27.1935,2.4607,19.95,11,100,2.61,DZ,1704905182
224,juneau,58.3019,-134.4197,-6.0,53,0,4.63,US,1704904827
225,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,94,40,1.54,ID,1704905186
226,spring creek,40.7266,-115.5859,-1.17,91,95,9.1,US,1704905187
227,kegeyli shahar,42.7767,59.6078,-3.95,49,100,1.94,UZ,1704905193
228,al lagowa,11.4,29.1333,29.21,25,23,3.61,SD,1704905196
229,keflavik,64.0049,-22.5624,7.24,81,75,10.29,IS,1704904862
230,antonio enes,-16.2325,39.9086,26.86,88,91,3.92,MZ,1704905198
231,saldanha,-33.0117,17.9442,26.03,75,14,12.92,ZA,1704905199
232,terenozek,45.05,64.9833,-4.62,69,25,2.87,KZ,1704905200
233,brisas de zicatela,15.8369,-97.0419,29.29,74,75,1.54,MX,1704905201
234,kabinda,-6.1333,24.4833,20.22,95,92,2.34,CD,1704905202
235,berbera,10.4396,45.0143,25.02,62,9,6.29,SO,1704905204
236,mirnyy,62.5353,113.9611,-26.9,100,99,0.95,RU,1704905205
237,divnoye,45.9089,43.3547,-3.57,86,58,9.09,RU,1704905206
238,rumoi,43.9344,141.6428,-5.77,79,100,2.84,JP,1704905207
239,flying fish cove,-10.4217,105.6791,26.82,89,75,2.06,CX,1704904687
240,namibe,-15.1961,12.1522,22.88,75,57,5.29,AO,1704905209
241,jamestown,42.097,-79.2353,1.12,96,100,10.29,US,1704905210
242,afaahiti,-17.75,-149.2833,25.93,82,94,6.9,PF,1704905211
243,kamyanyets,52.4001,23.81,-3.18,90,100,5.12,BY,1704905213
244,cabo san lucas,22.8909,-109.9124,19.86,55,100,2.06,MX,1704904459
245,medina de pomar,42.9294,-3.488,5.85,97,100,1.69,ES,1704905215
246,tura,25.5198,90.2201,13.77,50,0,1.37,IN,1704905200
247,taghazout,30.5426,-9.7112,23.43,50,0,3.11,MA,1704905217
248,porto uniao,-26.2381,-51.0783,36.11,27,19,0.9,BR,1704905219
249,georgetown,5.4112,100.3354,27.97,83,20,1.54,MY,1704905221
250,ciudad bolivar,8.1222,-63.5497,32.12,49,100,5.09,VE,1704905222
251,kailahun,8.2833,-10.5667,35.77,19,62,0.83,SL,1704905224
252,mwanza,-2.5167,32.9,22.03,83,40,1.03,TZ,1704905225
253,carnarvon,-24.8667,113.6333,23.51,80,2,9.31,AU,1704904780
254,petropavlovsk-kamchatsky,53.0452,158.6483,-19.75,73,0,4.0,RU,1704905195
255,college,64.8569,-147.8028,-16.03,72,100,0.0,US,1704905228
256,presque isle,46.6811,-68.0159,1.27,89,100,14.4,US,1704905230
